scenario_header,uprice,point_header_original,shock_value,shock_type,Notional,ab_Epsilon,ab_Th PnL,ab_Theta,ab_Vega,ab_WVega,ab_Zeta,ab_sDeltaPath,ab_sGammaPath,ab_sOEV
27MAY25,109.8671875,-1.5,-1.5,absolute_usd,18750.0,-0.0,,-0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-1,-1.0,absolute_usd,18750.0,-0.0,,-0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-0.5,-0.5,absolute_usd,18750.0,-0.0,,-0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-0.25,-0.25,absolute_usd,18750.0,-0.0,,-0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,0,0.0,absolute_usd,18750.0,-394.95,,9.58,2.91,0.7,13552.26,-99160.71,41254.4,275444.65
27MAY25,109.8671875,0.25,0.25,absolute_usd,18750.0,690.16,,18.34,5.56,1.33,-22421.57,-1757.95,78164.34,527457.59
27MAY25,109.8671875,0.5,0.5,absolute_usd,18750.0,0.0,,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
27MAY25,109.8671875,1,1.0,absolute_usd,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,1.5,1.5,absolute_usd,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,2,2.0,absolute_usd,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,2.5%,0.025,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,5%,0.05,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,10%,0.1,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,15%,0.15,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,20%,0.2,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,25%,0.25,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27MAY25,109.8671875,30%,0.3,percentage,18750.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-30%,-0.3,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-25%,-0.25,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-20%,-0.2,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-15%,-0.15,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-10%,-0.1,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-5%,-0.05,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-2.5%,-0.025,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-2,-2.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-1.5,-1.5,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-1,-1.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-0.5,-0.5,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,-0.25,-0.25,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,0,0.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,0.25,0.25,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,0.5,0.5,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,1,1.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,1.5,1.5,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,2,2.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,2.5%,0.025,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,5%,0.05,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,10%,0.1,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,15%,0.15,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,20%,0.2,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,25%,0.25,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28MAY25,109.8671875,30%,0.3,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-30%,-0.3,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-25%,-0.25,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-20%,-0.2,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-15%,-0.15,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-10%,-0.1,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-5%,-0.05,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-2.5%,-0.025,percentage,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-2,-2.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-1.5,-1.5,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30MAY25,109.8671875,-1,-1.0,absolute_usd,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
