line_no,raw,normalized_bbg,actantrisk,status,error
160,3MQ5P 110.5 Comdty,3MQ5P 110.5 Comdty,XCME.ZN3.15AUG25.110:5.P,ok,
161,3MQ5P 110.75 Comdty,3MQ5P 110.75 Comdty,XCME.ZN3.15AUG25.110:75.P,ok,
162,3MQ5P 111 Comdty,3MQ5P 111 Comdty,XCME.ZN3.15AUG25.111.P,ok,
163,3MQ5P 111.25 Comdty,3MQ5P 111.25 Comdty,XCME.ZN3.15AUG25.111:25.P,ok,
164,3MQ5P 111.5 Comdty,3MQ5P 111.5 Comdty,XCME.ZN3.15AUG25.111:5.P,ok,
165,3MQ5P 111.75 Comdty,3MQ5P 111.75 Comdty,XCME.ZN3.15AUG25.111:75.P,ok,
166,3MQ5P 112 Comdty,3MQ5P 112 Comdty,XCME.ZN3.15AUG25.112.P,ok,
167,3MQ5P 112.25 Comdty,3MQ5P 112.25 Comdty,XCME.ZN3.15AUG25.112:25.P,ok,
168,3MQ5P 112.5 Comdty,3MQ5P 112.5 Comdty,XCME.ZN3.15AUG25.112:5.P,ok,
169,3MQ5P 112.75 Comdty,3MQ5P 112.75 Comdty,XCME.ZN3.15AUG25.112:75.P,ok,
170,3MQ5P 113 Comdty,3MQ5P 113 Comdty,XCME.ZN3.15AUG25.113.P,ok,
171,3MQ5P 113.25 Comdty,3MQ5P 113.25 Comdty,XCME.ZN3.15AUG25.113:25.P,ok,
172,3MQ5P 113.5 Comdty,3MQ5P 113.5 Comdty,XCME.ZN3.15AUG25.113:5.P,ok,
173,3MQ5P 113.75 Comdty,3MQ5P 113.75 Comdty,XCME.ZN3.15AUG25.113:75.P,ok,
174,3MQ5P 114 Comdty,3MQ5P 114 Comdty,XCME.ZN3.15AUG25.114.P,ok,
175,VBYQ25C3 110 Comdty,VBYQ25C3 110 Comdty,XCME.VY3.18AUG25.110.C,ok,
176,VBYQ25C3 110.25 Comdty,VBYQ25C3 110.25 Comdty,XCME.VY3.18AUG25.110:25.C,ok,
177,VBYQ25C3 110.5 Comdty,VBYQ25C3 110.5 Comdty,XCME.VY3.18AUG25.110:5.C,ok,
178,VBYQ25C3 110.75 Comdty,VBYQ25C3 110.75 Comdty,XCME.VY3.18AUG25.110:75.C,ok,
179,VBYQ25C3 111 Comdty,VBYQ25C3 111 Comdty,XCME.VY3.18AUG25.111.C,ok,
180,VBYQ25C3 111.25 Comdty,VBYQ25C3 111.25 Comdty,XCME.VY3.18AUG25.111:25.C,ok,
181,VBYQ25C3 111.5 Comdty,VBYQ25C3 111.5 Comdty,XCME.VY3.18AUG25.111:5.C,ok,
182,VBYQ25C3 111.75 Comdty,VBYQ25C3 111.75 Comdty,XCME.VY3.18AUG25.111:75.C,ok,
183,VBYQ25C3 112 Comdty,VBYQ25C3 112 Comdty,XCME.VY3.18AUG25.112.C,ok,
184,VBYQ25C3 112.25 Comdty,VBYQ25C3 112.25 Comdty,XCME.VY3.18AUG25.112:25.C,ok,
185,VBYQ25C3 112.5 Comdty,VBYQ25C3 112.5 Comdty,XCME.VY3.18AUG25.112:5.C,ok,
186,VBYQ25C3 112.75 Comdty,VBYQ25C3 112.75 Comdty,XCME.VY3.18AUG25.112:75.C,ok,
187,VBYQ25C3 113 Comdty,VBYQ25C3 113 Comdty,XCME.VY3.18AUG25.113.C,ok,
188,VBYQ25C3 113.25 Comdty,VBYQ25C3 113.25 Comdty,XCME.VY3.18AUG25.113:25.C,ok,
189,VBYQ25C3 113.5 Comdty,VBYQ25C3 113.5 Comdty,XCME.VY3.18AUG25.113:5.C,ok,
190,VBYQ25C3 113.75 Comdty,VBYQ25C3 113.75 Comdty,XCME.VY3.18AUG25.113:75.C,ok,
191,VBYQ25C3 114 Comdty,VBYQ25C3 114 Comdty,XCME.VY3.18AUG25.114.C,ok,
192,VBYQ25P3 110 Comdty,VBYQ25P3 110 Comdty,XCME.VY3.18AUG25.110.P,ok,
193,VBYQ25P3 110.25 Comdty,VBYQ25P3 110.25 Comdty,XCME.VY3.18AUG25.110:25.P,ok,
194,VBYQ25P3 110.5 Comdty,VBYQ25P3 110.5 Comdty,XCME.VY3.18AUG25.110:5.P,ok,
195,VBYQ25P3 110.75 Comdty,VBYQ25P3 110.75 Comdty,XCME.VY3.18AUG25.110:75.P,ok,
196,VBYQ25P3 111 Comdty,VBYQ25P3 111 Comdty,XCME.VY3.18AUG25.111.P,ok,
197,VBYQ25P3 111.25 Comdty,VBYQ25P3 111.25 Comdty,XCME.VY3.18AUG25.111:25.P,ok,
198,VBYQ25P3 111.5 Comdty,VBYQ25P3 111.5 Comdty,XCME.VY3.18AUG25.111:5.P,ok,
199,VBYQ25P3 111.75 Comdty,VBYQ25P3 111.75 Comdty,XCME.VY3.18AUG25.111:75.P,ok,
200,VBYQ25P3 112 Comdty,VBYQ25P3 112 Comdty,XCME.VY3.18AUG25.112.P,ok,
201,VBYQ25P3 112.25 Comdty,VBYQ25P3 112.25 Comdty,XCME.VY3.18AUG25.112:25.P,ok,
202,VBYQ25P3 112.5 Comdty,VBYQ25P3 112.5 Comdty,XCME.VY3.18AUG25.112:5.P,ok,
203,VBYQ25P3 112.75 Comdty,VBYQ25P3 112.75 Comdty,XCME.VY3.18AUG25.112:75.P,ok,
204,VBYQ25P3 113 Comdty,VBYQ25P3 113 Comdty,XCME.VY3.18AUG25.113.P,ok,
205,VBYQ25P3 113.25 Comdty,VBYQ25P3 113.25 Comdty,XCME.VY3.18AUG25.113:25.P,ok,
206,VBYQ25P3 113.5 Comdty,VBYQ25P3 113.5 Comdty,XCME.VY3.18AUG25.113:5.P,ok,
207,VBYQ25P3 113.75 Comdty,VBYQ25P3 113.75 Comdty,XCME.VY3.18AUG25.113:75.P,ok,
208,VBYQ25P3 114 Comdty,VBYQ25P3 114 Comdty,XCME.VY3.18AUG25.114.P,ok,
209,TJPQ25C3 110 Comdty,TJPQ25C3 110 Comdty,XCME.GY3.19AUG25.110.C,ok,
210,TJPQ25C3 110.25 Comdty,TJPQ25C3 110.25 Comdty,XCME.GY3.19AUG25.110:25.C,ok,
211,TJPQ25C3 110.5 Comdty,TJPQ25C3 110.5 Comdty,XCME.GY3.19AUG25.110:5.C,ok,
212,TJPQ25C3 110.75 Comdty,TJPQ25C3 110.75 Comdty,XCME.GY3.19AUG25.110:75.C,ok,
213,TJPQ25C3 111 Comdty,TJPQ25C3 111 Comdty,XCME.GY3.19AUG25.111.C,ok,
214,TJPQ25C3 111.25 Comdty,TJPQ25C3 111.25 Comdty,XCME.GY3.19AUG25.111:25.C,ok,
215,TJPQ25C3 111.5 Comdty,TJPQ25C3 111.5 Comdty,XCME.GY3.19AUG25.111:5.C,ok,
216,TJPQ25C3 111.75 Comdty,TJPQ25C3 111.75 Comdty,XCME.GY3.19AUG25.111:75.C,ok,
217,TJPQ25C3 112 Comdty,TJPQ25C3 112 Comdty,XCME.GY3.19AUG25.112.C,ok,
218,TJPQ25C3 112.25 Comdty,TJPQ25C3 112.25 Comdty,XCME.GY3.19AUG25.112:25.C,ok,
219,TJPQ25C3 112.5 Comdty,TJPQ25C3 112.5 Comdty,XCME.GY3.19AUG25.112:5.C,ok,
220,TJPQ25C3 112.75 Comdty,TJPQ25C3 112.75 Comdty,XCME.GY3.19AUG25.112:75.C,ok,
221,TJPQ25C3 113 Comdty,TJPQ25C3 113 Comdty,XCME.GY3.19AUG25.113.C,ok,
222,TJPQ25C3 113.25 Comdty,TJPQ25C3 113.25 Comdty,XCME.GY3.19AUG25.113:25.C,ok,
223,TJPQ25C3 113.5 Comdty,TJPQ25C3 113.5 Comdty,XCME.GY3.19AUG25.113:5.C,ok,
224,TJPQ25C3 113.75 Comdty,TJPQ25C3 113.75 Comdty,XCME.GY3.19AUG25.113:75.C,ok,
225,TJPQ25C3 114 Comdty,TJPQ25C3 114 Comdty,XCME.GY3.19AUG25.114.C,ok,
226,TJPQ25P3 110 Comdty,TJPQ25P3 110 Comdty,XCME.GY3.19AUG25.110.P,ok,
227,TJPQ25P3 110.25 Comdty,TJPQ25P3 110.25 Comdty,XCME.GY3.19AUG25.110:25.P,ok,
228,TJPQ25P3 110.5 Comdty,TJPQ25P3 110.5 Comdty,XCME.GY3.19AUG25.110:5.P,ok,
