tradeId,instrumentName,marketTradeTime,buySell,quantity,price
broker_210,XCMEFFDPSX20250919U0ZN,2025-08-01 12:53:00.000," ""B""",2.0,112.109375
broker_145,CALL AUG 25 CBT 10YR T NOTE W1 THURS OPT 112.50,2025-08-01 12:53:00.000," ""B""",6.0,0.15625
broker_193,XCMEFFDPSX20250919U0ZN,2025-08-01 12:56:00.000," ""S""",5.0,112.109375
broker_33,XCMEFFDPSX20250919U0ZN,2025-08-01 12:58:00.000," ""S""",2.0,112.109375
broker_32,XCMEFFDPSX20250919U0ZN,2025-08-01 13:00:00.000," ""S""",5.0,112.125
broker_191,XCMEFFDPSX20250919U0ZN,2025-08-01 13:05:00.000," ""S""",2.0,112.125
broker_8,XCMEFFDPSX20250919U0ZN,2025-08-01 13:11:00.000," ""S""",5.0,112.125
broker_103,XCMEFFDPSX20250919U0ZN,2025-08-01 13:15:00.000," ""S""",2.0,112.140625
broker_19,XCMEFFDPSX20250919U0ZN,2025-08-01 13:15:00.000," ""S""",2.0,112.140625
broker_222,XCMEFFDPSX20250919U0ZN,2025-08-01 13:15:00.000," ""S""",2.0,112.140625
broker_137,XCMEFFDPSX20250919U0ZN,2025-08-01 13:17:00.000," ""S""",10.0,112.15625
broker_129,XCMEFFDPSX20250919U0ZN,2025-08-01 13:23:00.000," ""S""",5.0,112.15625
broker_158,XCMEFFDPSX20250919U0ZN,2025-08-01 13:32:00.000," ""B""",5.0,112.125
broker_144,XCMEFFDPSX20250919U0ZN,2025-08-01 13:40:00.000," ""S""",2.0,112.15625
broker_211,XCMEFFDPSX20250919U0ZN,2025-08-01 13:40:00.000," ""S""",5.0,112.15625
broker_0,XCMEFFDPSX20250919U0ZN,2025-08-01 13:43:00.000," ""S""",3.0,112.171875
broker_51,XCMEFFDPSX20250919U0ZN,2025-08-01 13:43:00.000," ""S""",2.0,112.171875
broker_268,XCMEFFDPSX20250919U0ZN,2025-08-01 13:43:00.000," ""S""",7.0,112.171875
broker_123,XCMEFFDPSX20250919U0ZN,2025-08-01 13:43:00.000," ""S""",2.0,112.171875
broker_252,CALL AUG 25 CBT 10YR T NOTE W1 THURS OPT 112.50,2025-08-01 13:47:00.000," ""B""",20.0,0.171875
broker_231,XCMEFFDPSX20250919U0ZN,2025-08-01 13:47:00.000," ""S""",10.0,112.1875
broker_236,XCMEFFDPSX20250919U0ZN,2025-08-01 13:48:00.000," ""S""",10.0,112.203125
broker_148,XCMEFFDPSX20250919U0ZN,2025-08-01 13:48:00.000," ""S""",5.0,112.203125
broker_132,XCMEFFDPSX20250919U0ZN,2025-08-01 13:51:00.000," ""S""",3.0,112.21875
broker_96,XCMEFFDPSX20250919U0ZN,2025-08-01 13:51:00.000," ""S""",10.0,112.21875
broker_54,XCMEFFDPSX20250919U0ZN,2025-08-01 13:57:00.000," ""B""",2.0,112.1875
broker_120,XCMEFFDPSX20250919U0ZN,2025-08-01 13:59:00.000," ""B""",2.0,112.1875
broker_185,XCMEFFDPSX20250919U0ZN,2025-08-01 14:21:00.000," ""B""",1.0,112.203125
broker_259,XCMEFFDPSX20250919U0ZN,2025-08-01 14:21:00.000," ""B""",1.0,112.203125
broker_72,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_247,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_175,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",4.0,112.25
broker_177,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_167,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_235,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.25
broker_194,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",2.0,112.25
broker_16,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",3.0,112.25
broker_26,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_135,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",3.0,112.234375
broker_5,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",2.0,112.234375
broker_58,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",10.0,112.21875
broker_2,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_155,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",1.0,112.234375
broker_70,XCMEFFDPSX20250919U0ZN,2025-08-01 14:30:00.000," ""S""",3.0,112.234375
broker_220,XCMEFFDPSX20250919U0ZN,2025-08-01 14:31:00.000," ""S""",10.0,112.25
broker_125,XCMEFFDPSX20250919U0ZN,2025-08-01 14:41:00.000," ""S""",5.0,112.25
broker_42,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.50,2025-08-01 14:42:00.000," ""S""",50.0,0.1875
broker_192,XCMEFFDPSX20250919U0ZN,2025-08-01 14:42:00.000," ""S""",10.0,112.265625
broker_224,XCMEFFDPSX20250919U0ZN,2025-08-01 14:44:00.000," ""S""",10.0,112.28125
broker_77,XCMEFFDPSX20250919U0ZN,2025-08-01 14:44:00.000," ""S""",4.0,112.28125
broker_266,XCMEFFDPSX20250919U0ZN,2025-08-01 14:45:00.000," ""S""",5.0,112.28125
broker_86,XCMEFFDPSX20250919U0ZN,2025-08-01 14:46:00.000," ""S""",10.0,112.296875
broker_230,XCMEFFDPSX20250919U0ZN,2025-08-01 14:46:00.000," ""S""",5.0,112.296875
broker_121,XCMEFFDPSX20250919U0ZN,2025-08-01 14:49:00.000," ""S""",5.0,112.28125
broker_228,XCMEFFDPSX20250919U0ZN,2025-08-01 14:50:00.000," ""S""",5.0,112.28125
broker_126,XCMEFFDPSX20250919U0ZN,2025-08-01 14:58:00.000," ""S""",2.0,112.265625
broker_44,XCMEFFDPSX20250919U0ZN,2025-08-01 14:58:00.000," ""S""",2.0,112.265625
broker_166,XCMEFFDPSX20250919U0ZN,2025-08-01 14:59:00.000," ""S""",5.0,112.265625
broker_94,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.50,2025-08-01 15:00:00.000," ""S""",30.0,0.203125
broker_95,XCMEFFDPSX20250919U0ZN,2025-08-01 15:00:00.000," ""S""",8.0,112.296875
broker_131,XCMEFFDPSX20250919U0ZN,2025-08-01 15:00:00.000," ""S""",5.0,112.28125
broker_81,XCMEFFDPSX20250919U0ZN,2025-08-01 15:00:00.000," ""S""",1.0,112.296875
broker_273,XCMEFFDPSX20250919U0ZN,2025-08-01 15:00:00.000," ""S""",2.0,112.28125
