key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,bloomberg_symbol,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.WY4.23JUL25.113.C,,0.015625,113.0,C,0.0044163,,1214.5792107,1080.3415818,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0044163,23JUL25,,1.880556,0.6243259923079684,0.6243259923079684,0.014595847584261247,0.9195383978084586,0.043205992863998836,0.23278714553110863,0.050727291703866965,3.1958193773436188,-0.03341460144043236,386.45329980214933,129.21725315731047,21.449425010674457,413.40902030589484,-44.00004178972777,1277.8525306297927,-120.67747646914951,True,,bachelier_v1.0
XCME.HY4.24JUL25.110.C,1.125,1.15625,110.0,C,1.137851,,715.4729325,618.2314928,0,0,0.0,,,19.7,111266384.023,adjtheor,1.137851,24JUL25,,2.879861,0.3362378189411366,0.3362378189411366,0.9764443378939749,61.51599328732041,0.09743428902827748,4.487782912307927,0.09434739356698743,5.943885794720209,-0.021856187302140177,1105.948148469427,-328.26402719192134,-19.163213179359275,-997.1500370647042,31.616515027976405,-5275.4036470698975,107.30742080363186,True,,bachelier_v1.0
XCME.HY4.24JUL25.110:25.C,0.875,0.90625,110.25,C,0.8926016,,591.3092509,505.7862779,0,0,0.0,,,19.7,111266384.023,adjtheor,0.8926016,24JUL25,,2.879861,0.30782710340911973,0.30782710340911973,0.9544819839149256,60.13236498664031,0.18312776674227005,4.735658438642757,0.16234263150644665,10.22758578490614,-0.03443002786491104,1506.1819384402033,-525.1892370318509,-28.06862580818315,-1099.5257759826898,-7.739622698055852,-6127.5418469793185,-26.26851659604859,True,,bachelier_v1.0
XCME.HY4.24JUL25.110:5.C,0.640625,0.671875,110.5,C,0.6555298,,537.2329248,441.5121321,0,0,0.0,,,19.7,111266384.023,adjtheor,0.6555298,24JUL25,,2.879861,0.2887457327181956,0.2887457327181956,0.9017241568603116,56.80862188219963,0.3536288427974119,5.190794335876236,0.2940592065267338,18.525730011184226,-0.058498979866365236,1698.504215308643,-775.0097290654625,-38.85270019676943,-622.4078938195025,-105.62943948458735,2098.836658898646,-358.50955432610374,True,,bachelier_v1.0
XCME.HY4.24JUL25.110:75.C,0.421875,0.453125,110.75,C,0.4397755,385.3097977,488.2216109,438.8223968,0,0,0.0,,,19.7,111266384.023,adjtheor,0.4397755,24JUL25,,2.879861,0.2808386074411794,0.2808386074411794,0.7890810277911021,49.71210475083943,0.6062705077532892,5.7204279619954335,0.49033712885570746,30.89123911790957,-0.09487450601640797,1126.4840355797432,-826.4103388915854,-40.294987978465976,362.54695780005954,-199.09689171101385,19219.62714937604,-675.7409512283089,True,,bachelier_v1.0
XCME.HY4.24JUL25.111.C,0.25,0.28125,111.0,C,0.2644435,411.9690051,488.099737,450.1575279,0,0,0.0,,,19.7,111266384.023,adjtheor,0.2644435,24JUL25,,2.879861,0.2817165413466549,0.2817165413466549,0.6094191657641668,38.39340744314251,0.802885143322863,5.746211630057944,0.6513843140879584,41.037211787541374,-0.1264292556632065,178.44592278222626,-378.5123251472642,-18.513598937165327,430.5415607227211,-113.18670580823454,13890.920218373836,-384.1591477996142,True,,bachelier_v1.0
XCME.HY4.24JUL25.111:25.C,0.125,0.15625,111.25,C,0.1436244,416.1349443,491.5928869,453.956006,0,0,0.0,,,19.7,111266384.023,adjtheor,0.1436244,24JUL25,,2.879861,0.2905244394098247,0.2905244394098247,0.4060603575748598,25.581802527216166,0.7866353409911456,4.827609170208269,0.6581541927948444,41.4637141460752,-0.13173714925366234,127.98842332458743,317.3014607984904,16.00490944222653,-357.81713934399295,95.55408599769339,-11106.139856350479,324.31349586087487,True,,bachelier_v1.0
XCME.HY4.24JUL25.111:5.C,0.0625,0.078125,111.5,C,0.0738224,401.9768369,500.1652413,452.6291782,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0738224,24JUL25,,2.879861,0.30697711152918733,0.30697711152918733,0.24045208449931466,15.148481323456824,0.5973610571850413,3.3808247908645503,0.5280978857112041,33.27016679980586,-0.11169104675668809,854.6743942591704,714.527256095695,38.08230903941759,-406.6973791429127,182.98898426881112,-15947.320490213524,621.0702197882082,True,,bachelier_v1.0
XCME.HY4.24JUL25.111:75.C,0.03125,0.046875,111.75,C,0.0388203,408.3179765,558.9635733,491.887307,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0388203,24JUL25,,2.879861,0.33149084291046876,0.33149084291046876,0.13629132770227353,8.586353645243234,0.3884828038079565,2.114311824663328,0.3708641570103021,23.364441891649033,-0.08470018034092501,1346.6755364634164,723.2982014528254,41.628177623021244,154.33823582431933,132.92542024876693,-5942.089582737801,451.1529494478568,True,,bachelier_v1.0
XCME.HY4.24JUL25.112.C,0.0069999,0.03125,112.0,C,0.0221573,452.9786993,629.0905516,556.5324444,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0221573,24JUL25,,2.879861,0.36280645851346077,0.36280645851346077,0.07949374792765596,5.008106119442325,0.24030680150355266,1.2876514364637557,0.25108027698189345,15.818057449859289,-0.06276037728406812,1372.9099803716035,574.3862865140544,36.18074872864734,540.8509868630694,59.714954952899056,806.0265829635332,202.67438690603822,True,,bachelier_v1.0
